No,Application_domain,DK_type,Know_Conv,DK_injection,Features ,ML_model,Use_case,Metrics,Environment,Data_type,Article_Name
9,diagnosis,informal,"DE,HD",FE,"\cite{ranawat2021fault},time and frequency domain","SVM,ANN.",rotating machine(accelerometer data),accuracy,"Real-time	",,"Fault Diagnosis in Centrifugal Pump using Support Vector
Machine and Artificial Neural Network"
10,diagonosis,semiformal,"DE,HD",PP,\cite{rengasamy2020deep},"Bi-LSTM,DNN,CNN1D,Bi-GRU",air pressure system failure data form Scania trucks,"RMSE,asymmetric scoring,false positive and false negative",Real-time,sensor data ,"Deep Learning with Dynamically Weighted Loss
Function for Sensor-Based Prognostics and
Health Management"
10,predictive,informal,"DE,HD",PP,\cite{rengasamy2020deep},"Bi-LSTM,DNN,CNN1D,Bi-GRU",NASA aero-propulsion system data,"RMSE,asymmetric scoring,false positive and false negative",Real-time,sensor data ,"Deep Learning with Dynamically Weighted Loss
Function for Sensor-Based Prognostics and
Health Management"
11,diagnosis,semiformal,"ST/K,DE",PP,"\cite{altobi2019fault},frequency domain feature","MLP-BP,SVM,MLP-GA.",rotating machine,accuracy,Real-time,sensor  data,"Fault diagnosis of a centrifugal pump using MLP-GABP and SVM
with CWT"
12,prescriptive,semiformal,"LR,ST/K","PP,DM",\cite{yu2019global},"DPCA.,Kmeans",Rotating equipment functional failure,"statistic value(minimum,maximum, average)",Real-time,sensor data,"A Global Manufacturing Big Data Ecosystem for
Fault Detection in Predictive Maintenance"
13,predictive,semiformal,"ST/K,DE","PP,FE",\cite{scalabrini2019prediction},"RT,RF,SVM,MLP.",motor(cooling fan),RMSE,Experimental( generation of artificial vibration data),accelerometer data,"Prediction of Motor Failure Time Using An Artificial
Neural Network"
14,predictive,informal,ST/K,"PP,FE",\cite{akuruyejo2017data},SVR.,Nasa bearing data,,Real-time,sensor data,"A Data-Driven Approach Based Health Indicator for
Remaining Useful Life Estimation of Bearings"
15,diagnosis,informal,"HD,LR,ST/K","PP,FE",vamsi2020machine,IF.,IBRL dataset,"precision,AUC",Real-time,sensor data,Machine Learning Based Hybrid Model for Fault Detection in Wireless Sensors Data
17,predictive,semiformal,"PR,DE,HD","PP,FE","ali2015accurate,time domain feature(rms,kurtosis,rmsee-entrophy estimator)",NN SFAM.,bearing,accracy,Real-time,vibration data,"Accurate bearing remaining useful life prediction based on
Weibull distribution and artificial neural network"
18,descriptive,semiformal,ST/K,PP,german2018signal,-1,malfunctions of manufacturing equipment,,experimental,sensor data,Signal processing methods in fault detection in manufacturing systems
20,descriptive,informal,"ST/K,HD",FE,zhu2020methodology,"TSAK-SVM.,MLP",semiconductor,accuracy,,"open-source (for model validation)+ proprietary datasets 	",Methodology for Important Sensor Screening for Fault Detection and Classification in Semiconductor Manufacturing
21,descriptive,informal,ST/K,PP,gao2018multi,-1,hydralic pump (axial piston pumps),accuracy,"experimental	","pressure, vibration, and acoustic signals",A multi-sensor fault detection strategy for axial piston pump using the Walsh transform method
22,diagnosis,semiformal,"ST/K,HD,DE",PP,\cite{siano2018diagnostic},ANN.,gear pump,,experimental,vibration data,Diagnostic method by using vibration analysis for pump fault detection
23,diagnosis,informal,ST/K,FE,\cite{akpudo2020intelligent},"SVM.,BPNN,RF",Solenoid Pumps,"precision,recall,f1 score",vibration, data with variation of temperature,"Intelligent Solenoid Pump Fault Detection based on MFCC Features, LLE and SVM*"
